Date,Market Cap
24/02/2015,3315370000
23/02/2015,3272880000
22/02/2015,3390510000
21/02/2015,3378660000
20/02/2015,3329190000
19/02/2015,3274980000
18/02/2015,3376060000
17/02/2015,3231750000
16/02/2015,3250240000
15/02/2015,3563290000
14/02/2015,3258210000
13/02/2015,3069830000
12/02/2015,3030990000
11/02/2015,3037370000
10/02/2015,3044180000
09/02/2015,3086220000
08/02/2015,3144920000
07/02/2015,3074140000
06/02/2015,2994350000
05/02/2015,3141730000
04/02/2015,3138700000
03/02/2015,3275110000
02/02/2015,3123010000
01/02/2015,2989460000
31/01/2015,3120490000
30/01/2015,3206940000
29/01/2015,3213920000
28/01/2015,3626050000
27/01/2015,3760210000
26/01/2015,3496650000
25/01/2015,3403300000
24/01/2015,3200970000
23/01/2015,3211490000
22/01/2015,3125520000
21/01/2015,2905520000
20/01/2015,2925910000
19/01/2015,2905410000
18/01/2015,2747730000
17/01/2015,2853930000
16/01/2015,2870180000
15/01/2015,2427830000
14/01/2015,3072020000
13/01/2015,3668040000
12/01/2015,3649970000
11/01/2015,3764960000
10/01/2015,3937990000
09/01/2015,3869530000
08/01/2015,4029490000
07/01/2015,3918090000
06/01/2015,3759970000
05/01/2015,3628490000
04/01/2015,3847150000
03/01/2015,4307010000
02/01/2015,4295210000
01/01/2015,4380820000
31/12/2014,4249480000
30/12/2014,4272940000
29/12/2014,4339700000
28/12/2014,4317320000
27/12/2014,4472050000
26/12/2014,4355750000
25/12/2014,4397250000
24/12/2014,4561040000
23/12/2014,4527490000
22/12/2014,4376890000
21/12/2014,4491320000
20/12/2014,4327750000
19/12/2014,4238930000
18/12/2014,4355140000
